23-03-31 13:42:12.667 | 15300:13016 | INFO | Initialized rvm.log
23-03-31 13:42:12.667 | 15300:13016 | INFO | LOG_MANAGER | Testing RVM log.
23-03-31 13:42:12.667 | 15300:13016 | INFO | LOG_MANAGER | -----------------------New RVM Instance-----------------------
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | Starting OpenFin RVM - Version 9.0.0.301
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | [RVM Directory] - C:\Users\Richard\AppData\Local\OpenFin
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | Command line arguments : --config="http://localhost:9000/app.json"
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | RVM sessionId: 917673e0-de86-4908-ae2a-69e13e677156
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | Integrity Level: 2
23-03-31 13:42:12.667 | 15300:13016 | INFO | GENERAL | <- Primary RVM
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Global Configuration Inserting:	unusedRuntimeExpirationInMinutes : 0
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFiles : 0
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFileSizeMB : 0
23-03-31 13:42:12.683 | 15300:13016 | INFO | GENERAL | Initializing RVM configuration settings from Registry
23-03-31 13:42:12.683 | 15300:13016 | INFO | GENERAL | Checking for RVM config registry settings for local machine
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Network":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Deployment":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\ApplicationLogging":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\AppSettings":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.683 | 15300:13016 | INFO | GENERAL | Checking for RVM config registry settings for current user
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | 	runtimeArgs : --inspect --v=1
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings":
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Global Configuration Inserting:	trackBetaAutoUpdates : 0
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | 	trackBetaAutoUpdates : 0
23-03-31 13:42:12.683 | 15300:13016 | INFO | VERBOSE | Global Configuration Inserting:	DesktopOwnerSettings : https://jsonblob.com/api/1088753725430054912
